module	status	blocker_category	first_error	direct_deps	n_direct_deps	fstar_s	krml_s
CSVW.Conversion	PASS			CSVW.Metadata,CSVW.URITemplate,RDF.Graph.Executable,SPARQL11.Algebra	4	30.89	0.71
CSVW.Metadata	BLOCKED_SELF	krml fatal: Failure("nth")	Fatal error: exception Failure("nth")	Parser.JSON	1	1.91	0.34
CSVW.URITemplate	PASS			SPARQL11.Algebra	1	33.21	0.77
HDT.Container	PASS			Parquet.Footer,Parser.NTriples,RDF.Graph.Executable	3	19.40	0.50
HDT.Dictionary	PASS			HDT.Container,Parser.Combinators,Parser.NTriples,RDF.Graph.Executable,RDF.NQuads.Serialize	5	28.16	0.48
HDT.Triples	PASS			HDT.Container,HDT.Dictionary	2	36.71	0.57
JSONLD.Context	BLOCKED_SELF	krml fatal: Failure("nth")	Fatal error: exception Failure("nth")	JSONLD.Loader,Parser.FastString,Parser.JSON,RDF.Graph.Executable,SPARQL11.IRI.Resolve	5	52.06	1.07
JSONLD.Expand	BLOCKED_TRANSITIVE	krml fatal: Failure("nth") [failing deps in closure: JSONLD.Context]	Fatal error: exception Failure("nth")	JSONLD.Context,Parser.FastString,Parser.JSON	3	31.31	0.83
JSONLD.Loader	PASS	header-only (all-assume-val module, no C body emitted)			0	0.38	0.13
OWL.Closure	PASS				0	17.08	6.35
OWL.DirectMapping.Filter	PASS			RDF.Graph.Executable	1	8.52	0.31
OWL.QueryEval	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: OWL.QueryRewrite, SPARQL11.Algebra]	Fatal error: exception Stack overflow	OWL.QueryRewrite,RDF.Graph.Executable,SPARQL11.Algebra	3	29.09	1.79
OWL.QueryRewrite	BLOCKED_TRANSITIVE	monomorphization stack overflow [failing deps in closure: SPARQL11.Algebra]	Fatal error: exception Stack overflow	RDF.Graph.Executable,SPARQL11.Algebra	2	46.57	1.91
OWL.Tests.Manifest	PASS				0	1.24	0.29
OWL.Vocabulary	PASS			RDF.Graph.Executable	1	9.06	0.45
Parquet.Footer	PASS				0	1.87	1.62
Parser.Ballyhoo	PASS			Parser.Combinators,Parser.NQuads,RDF.Graph.Executable	3	14.85	0.25
Parser.BallyhooBloom	PASS			RDF.Graph.Executable	1	8.70	0.38
Parser.BallyhooCOTTAS	PASS			RDF.Graph.Executable	1	8.26	0.36
Parser.BallyhooHDT	PASS			HDT.Container,HDT.Dictionary,HDT.Triples,RDF.Graph.Executable	4	14.55	0.40
Parser.BallyhooHDTQ	PASS			Parser.BallyhooHDT,RDF.Graph.Executable	2	15.62	0.20
Parser.CSVResults	PASS			Parser.Combinators,RDF.Graph.Executable	2	12.33	0.58
Parser.Combinators	PASS			Parser.FastString	1	1.62	0.15
Parser.FastString	PASS				0	0.66	0.19
Parser.IRI	PASS				0	10.25	0.35
Parser.JSON	PASS			Parser.Combinators,Parser.FastString	2	1.81	0.55
Parser.JSONLD	PASS			JSONLD.Context,JSONLD.Expand,Parser.FastString,Parser.JSON,RDF.Graph.Executable,SPARQL.JSON.Escape	6	51.94	1.21
