# index	predicate	file	rows	bytes	sha256	merkle-leaves	subject-index	term-index	object-index
0	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	predicate-0.ibk3	662	48565	4f71147d70b03813900fac8614ede5ba5af09b499f9594162843281d000b513d	predicate-0.ibk3.merkle	predicate-0.ibk3.sri2	predicate-0.ibk3.tli1	predicate-0.ibk3.oli2
1	http://www.w3.org/2004/02/skos/core#hasTopConcept	predicate-1.ibk3	657	48385	6aa13b38bca39fb47856132b2d66f3ba95ce8ceb64f1d0bb8c467df6e1c45b1a	predicate-1.ibk3.merkle	predicate-1.ibk3.sri2	predicate-1.ibk3.tli1	predicate-1.ibk3.oli2
2	http://www.w3.org/2004/02/skos/core#prefLabel	predicate-2.ibk3	954	143503	26c27e2b10152314f1ef098598a23a803ef75a2e65083e11f7c6125f0112d402	predicate-2.ibk3.merkle	predicate-2.ibk3.sri2	predicate-2.ibk3.tli1	predicate-2.ibk3.oli2
3	http://www.w3.org/2004/02/skos/core#definition	predicate-3.ibk3	655	99238	1844449946c5a9cc8f278368a55ec86076aad00fd448860f242eaa4224e48ffb	predicate-3.ibk3.merkle	predicate-3.ibk3.sri2	predicate-3.ibk3.tli1	predicate-3.ibk3.oli2
4	http://www.w3.org/2004/02/skos/core#inScheme	predicate-4.ibk3	657	48380	dbf18455489e85771f92138a6a55c938a6b4d06dbfbe4220f99b9ffe65502917	predicate-4.ibk3.merkle	predicate-4.ibk3.sri2	predicate-4.ibk3.tli1	predicate-4.ibk3.oli2
5	http://cv.iptc.org/newscodes/ikos/prefSchemeAlias	predicate-5.ibk3	4	559	231bd6648d5b314c1d5fb5229bb51508d5146daf964e93c82d32f5dca0f1d0aa	predicate-5.ibk3.merkle	predicate-5.ibk3.sri2	predicate-5.ibk3.tli1	predicate-5.ibk3.oli2
6	http://cv.iptc.org/newscodes/ikos/authority	predicate-6.ibk3	4	410	3112c0b4c989c6bc7bb0c383d7f2609c21e8cd345f9fdeb39ed76a6548558489	predicate-6.ibk3.merkle	predicate-6.ibk3.sri2	predicate-6.ibk3.tli1	predicate-6.ibk3.oli2
7	http://purl.org/dc/terms/rightsHolder	predicate-7.ibk3	4	456	91c722da0b4ab0c65ba689ecc4b70817eb373be6a9e68f9a9b4ced5b05488dc9	predicate-7.ibk3.merkle	predicate-7.ibk3.sri2	predicate-7.ibk3.tli1	predicate-7.ibk3.oli2
8	http://cv.iptc.org/newscodes/ikos/licenceLink	predicate-8.ibk3	4	436	d57f29ce75044fb24399c327ca8806f6c51bda30ffacda2c25c4d37f879adfed	predicate-8.ibk3.merkle	predicate-8.ibk3.sri2	predicate-8.ibk3.tli1	predicate-8.ibk3.oli2
9	http://cv.iptc.org/newscodes/ikos/dateReleased	predicate-9.ibk3	4	641	6ed8bfeb5025f5d31c88cf3e2026f617fc570bf29730433fe66a7131ef503c7e	predicate-9.ibk3.merkle	predicate-9.ibk3.sri2	predicate-9.ibk3.tli1	predicate-9.ibk3.oli2
10	http://www.w3.org/2004/02/skos/core#note	predicate-10.ibk3	57	11597	57a4afb56e8fdcd873633a29ad1c2a9c1942d0cf25bc6a182b08dc6e03100c95	predicate-10.ibk3.merkle	predicate-10.ibk3.sri2	predicate-10.ibk3.tli1	predicate-10.ibk3.oli2
11	http://cv.iptc.org/newscodes/ikos/created	predicate-11.ibk3	407	28371	4785469be090e311f541b26fa27da114613136366e84cb5e9efb60ac6e6da72e	predicate-11.ibk3.merkle	predicate-11.ibk3.sri2	predicate-11.ibk3.tli1	predicate-11.ibk3.oli2
12	http://cv.iptc.org/newscodes/ikos/modified	predicate-12.ibk3	365	25277	265094c8a35cd0482d043f300444af82429f31dd2fa0595e026be700d7d362f4	predicate-12.ibk3.merkle	predicate-12.ibk3.sri2	predicate-12.ibk3.tli1	predicate-12.ibk3.oli2
