Closure regime: RL
OWL 2 test catalog: /home/user/factoidal/third_party/testing/owl/profile-RL.rdf
  parsed 1896 triples in 0.04s
Totals: 91 test cases
  PositiveEntailmentTest:    30
  NegativeEntailmentTest:    6
  ConsistencyTest:           76
  InconsistencyTest:         14
  ProfileIdentificationTest: 91

Running 30 PositiveEntailmentTest(s) through owl_rl_closure_with_reflexivity (fuel=100)...
  FAIL  DisjointClasses-001
  FAIL  DisjointClasses-003
  FAIL  New-Feature-DisjointDataProperties-002
  PASS  New-Feature-DisjointObjectProperties-001
  FAIL  New-Feature-DisjointObjectProperties-002
  PASS  New-Feature-Keys-003
  PASS  New-Feature-ObjectPropertyChain-001
  FAIL/no-premise  New-Feature-ObjectPropertyChain-BJP-002
  PASS  New-Feature-ObjectPropertyChain-BJP-003
  FAIL  New-Feature-ObjectQCR-002
  PASS  New-Feature-ReflexiveProperty-001
  PASS  WebOnt-I4.6-003
  PASS  WebOnt-I4.6-005-Direct
  FAIL  WebOnt-I5.26-010
  FAIL  WebOnt-I5.5-005
  PASS  WebOnt-I5.8-006
  FAIL  WebOnt-I5.8-008
  FAIL  WebOnt-I5.8-009
  PASS  WebOnt-I5.8-011
  PASS  WebOnt-differentFrom-001
  PASS  WebOnt-equivalentClass-002
  PASS  WebOnt-equivalentClass-003
  PASS  WebOnt-equivalentClass-008-Direct
  PASS  WebOnt-equivalentProperty-002
  PASS  WebOnt-equivalentProperty-003
  PASS  WebOnt-imports-011
  PASS  WebOnt-sameAs-001
  PASS  chain2trans1
  PASS  owl2-rl-rules-fp-differentFrom
  PASS  owl2-rl-rules-ifp-differentFrom

Profile-RL PositiveEntailmentTests: 20 pass, 10 fail (out of 30) in 0.33s
  (bnode pattern matches any term at the position; full isomorphism deferred — see docs/designissues/2026-04-24-owl-runner-phase1.md)

Running 6 NegativeEntailmentTest(s) through owl_rl_closure_with_reflexivity (fuel=100)...
  PASS  New-Feature-Keys-004
  PASS  New-Feature-ObjectPropertyChain-BJP-004
  FAIL/unexpected-entailment  WebOnt-I4.6-004
  FAIL/unexpected-entailment  WebOnt-I4.6-005
  PASS  WebOnt-I5.8-007
  FAIL/unexpected-entailment  WebOnt-equivalentClass-008

Profile-RL NegativeEntailmentTests: 3 pass, 3 fail (out of 6) in 0.06s

Running 76 ConsistencyTest(s) through is_inconsistent (closure fuel=100)...
  PASS  DisjointClasses-001
  PASS  DisjointClasses-003
  PASS  FS2RDF-different-individuals-2-annotation-ar
  PASS  FS2RDF-different-individuals-2-ar
  PASS  FS2RDF-different-individuals-3-annotation-ar
  PASS  FS2RDF-different-individuals-3-ar
  PASS  FS2RDF-disjoint-classes-2-annotation-ar
  PASS  FS2RDF-disjoint-classes-2-ar
  PASS  FS2RDF-disjoint-classes-3-annotation-ar
  PASS  FS2RDF-disjoint-classes-3-ar
  PASS  FS2RDF-domain-range-simple-ar
  PASS  FS2RDF-equivalent-classes-2-annotation-ar
  PASS  FS2RDF-equivalent-classes-2-ar
  PASS  FS2RDF-equivalent-classes-3-annotation-ar
  PASS  FS2RDF-equivalent-classes-3-ar
  PASS  FS2RDF-no-builtin-prefixes-ar
  PASS  FS2RDF-ontology-annotation-annotation-ar
  PASS  FS2RDF-propertychain-2-annotated-ar
  PASS  FS2RDF-propertychain-2-ar
  PASS  FS2RDF-same-individual-2-annotation-ar
  PASS  FS2RDF-same-individual-2-ar
  PASS  FS2RDF-same-individual-3-annotation-ar
  PASS  New-Feature-AnnotationAnnotations-001
  PASS  New-Feature-AxiomAnnotations-001
  PASS  New-Feature-DisjointDataProperties-002
  PASS  New-Feature-DisjointObjectProperties-001
  PASS  New-Feature-DisjointObjectProperties-002
  PASS  New-Feature-Keys-003
  PASS  New-Feature-Keys-004
  PASS  New-Feature-Keys-005
  PASS  New-Feature-ObjectPropertyChain-001
  FAIL/no-premise  New-Feature-ObjectPropertyChain-BJP-002
  PASS  New-Feature-ObjectPropertyChain-BJP-003
  PASS  New-Feature-ObjectPropertyChain-BJP-004
  PASS  New-Feature-ObjectQCR-002
  PASS  New-Feature-ReflexiveProperty-001
  PASS  WebOnt-AnnotationProperty-003
  PASS  WebOnt-AnnotationProperty-004
  PASS  WebOnt-I4.6-003
  PASS  WebOnt-I4.6-004
  PASS  WebOnt-I4.6-005
  PASS  WebOnt-I4.6-005-Direct
  PASS  WebOnt-I5.26-001
  PASS  WebOnt-I5.26-002
  PASS  WebOnt-I5.26-005
  PASS  WebOnt-I5.26-010
  PASS  WebOnt-I5.5-005
  PASS  WebOnt-I5.8-006
  PASS  WebOnt-I5.8-007
  PASS  WebOnt-I5.8-008
  PASS  WebOnt-I5.8-009
  PASS  WebOnt-I5.8-011
  PASS  WebOnt-backwardCompatibleWith-002
  PASS  WebOnt-differentFrom-001
  PASS  WebOnt-disjointWith-003
  PASS  WebOnt-disjointWith-004
  PASS  WebOnt-disjointWith-005
  PASS  WebOnt-disjointWith-006
  PASS  WebOnt-disjointWith-007
  PASS  WebOnt-disjointWith-008
  PASS  WebOnt-disjointWith-009
  PASS  WebOnt-equivalentClass-002
  PASS  WebOnt-equivalentClass-003
  PASS  WebOnt-equivalentClass-008
  PASS  WebOnt-equivalentClass-008-Direct
  PASS  WebOnt-equivalentProperty-002
  PASS  WebOnt-equivalentProperty-003
  PASS  WebOnt-imports-011
  PASS  WebOnt-miscellaneous-303
  PASS  WebOnt-sameAs-001
  PASS  chain2trans1
  PASS  owl2-rl-anonymous-individual
  PASS  owl2-rl-rules-fp-differentFrom
  PASS  owl2-rl-rules-ifp-differentFrom
  PASS  owl2-rl-valid-oneof
  PASS  owl2-rl-valid-rightside-allvaluesfrom

Profile-RL ConsistencyTests: 75 pass, 1 fail (out of 76) in 0.93s

Running 14 InconsistencyTest(s) through is_inconsistent (closure fuel=100)...
  PASS  DisjointClasses-002
  PASS  New-Feature-AsymmetricProperty-001
  FAIL/unexpected-consistency  New-Feature-DisjointDataProperties-001
  PASS  New-Feature-IrreflexiveProperty-001
  FAIL/unexpected-consistency  New-Feature-Keys-006
  FAIL/unexpected-consistency  New-Feature-NegativeDataPropertyAssertion-001
  FAIL/unexpected-consistency  New-Feature-NegativeObjectPropertyAssertion-001
  FAIL/no-premise  Plus and Minus Zero are Distinct
  PASS  WebOnt-Nothing-001
  FAIL/unexpected-consistency  WebOnt-description-logic-101
  FAIL/unexpected-consistency  WebOnt-description-logic-103
  FAIL/unexpected-consistency  WebOnt-description-logic-104
  FAIL/no-premise  functionality-clash
  FAIL/no-premise  string-integer-clash

Profile-RL InconsistencyTests: 4 pass, 10 fail (out of 14) in 0.15s
