# index	predicate	file	rows	bytes	sha256	merkle-leaves	subject-index	term-index	object-index
0	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	predicate-0.ibk3	66590	4082129	6538de516037fef3df7bc7369613438b1eff80a2de4b18bd47d8207fa488bc4b	predicate-0.ibk3.merkle	predicate-0.ibk3.sri2	predicate-0.ibk3.tli1	predicate-0.ibk3.oli2
1	http://www.wikidata.org/prop/direct/P527	predicate-1.ibk3	2331	174950	73a4362462c62d4902b9aa54ae173849866c16e4516e0fc7bad377bfc3a62b44	predicate-1.ibk3.merkle	predicate-1.ibk3.sri2	predicate-1.ibk3.tli1	predicate-1.ibk3.oli2
2	http://www.wikidata.org/prop/direct/P682	predicate-2.ibk3	4	509	bdbf00233281cdc390aa9070d61ea648d9c86b2fd6cca0052545e35b473906e7	predicate-2.ibk3.merkle	predicate-2.ibk3.sri2	predicate-2.ibk3.tli1	predicate-2.ibk3.oli2
3	http://www.wikidata.org/prop/direct/P688	predicate-3.ibk3	10421	1103657	a7bf7d6a5a3afd0cb8542c4445c89196993edda64a52991b0418b6a0dba3c4b5	predicate-3.ibk3.merkle	predicate-3.ibk3.sri2	predicate-3.ibk3.tli1	predicate-3.ibk3.oli2
4	http://www.wikidata.org/prop/direct/P684	predicate-4.ibk3	36056	2061235	11d5fd8e3709117e657fd253baef3e1bd73cd1b1fe32b263f36c3c54fc0cc95f	predicate-4.ibk3.merkle	predicate-4.ibk3.sri2	predicate-4.ibk3.tli1	predicate-4.ibk3.oli2
5	http://www.wikidata.org/prop/direct/P1057	predicate-5.ibk3	18890	1196841	7ee62d1117f6ecf753979a2a02a7608826c6b4028c000f57d1db1ad3e6a745e6	predicate-5.ibk3.merkle	predicate-5.ibk3.sri2	predicate-5.ibk3.tli1	predicate-5.ibk3.oli2
6	http://www.wikidata.org/prop/direct/P684	predicate-6.ibk3	180667	4023719	bf376cf27f51294763d253ff025b8a0cd90ccc87050f81301751d897326af597	predicate-6.ibk3.merkle	predicate-6.ibk3.sri2	predicate-6.ibk3.tli1	predicate-6.ibk3.oli2
7	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	predicate-7.ibk3	25281	1551721	12ba154a34957a60a0d87ccf8005896a8f6f43a2c62e7c2aa9a3171bdd28a618	predicate-7.ibk3.merkle	predicate-7.ibk3.sri2	predicate-7.ibk3.tli1	predicate-7.ibk3.oli2
8	http://www.wikidata.org/prop/direct/P1057	predicate-8.ibk3	6168	390085	d35e1409f06fe5e87d2cdc044ce8d6aedbcd6ef98dcc562331d51b38f87970f8	predicate-8.ibk3.merkle	predicate-8.ibk3.sri2	predicate-8.ibk3.tli1	predicate-8.ibk3.oli2
9	http://www.wikidata.org/prop/direct/P688	predicate-9.ibk3	1	197	80a40aaada1a1f4f457fbdd5c76bbcc37b6b5504d8e4c2e676754d5639fcb068	predicate-9.ibk3.merkle	predicate-9.ibk3.sri2	predicate-9.ibk3.tli1	predicate-9.ibk3.oli2
10	http://www.wikidata.org/prop/direct/P684	predicate-10.ibk3	251148	4776014	ef387f50987d61410bc81736f870aaa8c80d465868e6f3fc6a19debe5ce920ca	predicate-10.ibk3.merkle	predicate-10.ibk3.sri2	predicate-10.ibk3.tli1	predicate-10.ibk3.oli2
11	http://www.wikidata.org/prop/direct/P684	predicate-11.ibk3	256698	4694444	3490ee96e2a2e44e32207ea2562304356c34d926c942d2ba34d5dac0ced19bb9	predicate-11.ibk3.merkle	predicate-11.ibk3.sri2	predicate-11.ibk3.tli1	predicate-11.ibk3.oli2
12	http://www.wikidata.org/prop/direct/P684	predicate-12.ibk3	34694	873561	460f1fd6d808b44a0240b4aef34fc5f3e30864f7a859e1e8050160b7716ca53d	predicate-12.ibk3.merkle	predicate-12.ibk3.sri2	predicate-12.ibk3.tli1	predicate-12.ibk3.oli2
